month,month_name,total_flights,avg_arrival_delay,median_arrival_delay,std_arrival_delay,avg_departure_delay,total_cancelled,total_diverted,avg_distance,on_time_flights,on_time_rate,cancellation_rate,date_label,delay_trend,volume_trend
1,January,469968,5.65,-3.0,38.88,9.52,11982,973,803.26,364606,77.58,2.55,2015-01-01,,
2,February,429191,7.9,-1.0,42.11,11.33,20517,1011,800.79,315873,73.6,4.78,2015-02-01,39.82300884955752,-8.6765481905151
3,March,504312,4.8,-4.0,38.74,9.46,11002,1172,816.06,400387,79.39,2.18,2015-03-01,-39.240506329113934,17.50292993096314
4,April,485151,3.12,-5.0,36.37,7.65,4520,1380,817.01,400478,82.55,0.93,2015-04-01,-35.0,-3.7994336839099585
5,May,496993,4.42,-5.0,39.56,9.35,5694,1658,823.32,403288,81.15,1.15,2015-05-01,41.66666666666665,2.4408895374842032
6,June,503897,9.39,-2.0,44.53,13.74,9120,1930,835.63,380806,75.57,1.81,2015-06-01,112.44343891402715,1.3891543744076973
7,July,520718,6.35,-4.0,39.19,11.3,4806,1528,841.48,410417,78.82,0.92,2015-07-01,-32.374866879659216,3.3381822078718537
8,August,510536,4.55,-5.0,38.48,9.84,5052,1528,834.82,413202,80.93,0.99,2015-08-01,-28.346456692913378,-1.9553769986825897
9,September,464946,-0.77,-7.0,32.23,4.8,2075,718,815.85,404617,87.02,0.45,2015-09-01,-116.92307692307693,-8.929830609398747
10,October,486165,-0.78,-7.0,32.61,4.96,2454,833,816.44,425641,87.55,0.5,2015-10-01,1.2987012987013102,4.563755790995083
11,November,467972,1.09,-6.0,36.6,6.88,4599,1006,820.25,394791,84.36,0.98,2015-11-01,-239.74358974358978,-3.7421451564797925
12,December,479230,5.97,-4.0,44.09,11.59,8063,1450,837.8,376404,78.54,1.68,2015-12-01,447.7064220183486,2.405699486294055
