Mês,Nome do Mês,Total Voos,Voos Pontuais,Voos Atrasados,Voos Cancelados,Atraso Médio (min),Principal Causa de Atraso,Score Criticidade
1,January,469968,364606,92407,11982,5.65,Aeronave Atrasada,53.57
2,February,429191,315873,91790,20517,7.9,Aeronave Atrasada,82.1
3,March,504312,400387,91751,11002,4.8,Aeronave Atrasada,47.21
4,April,485151,400478,78773,4520,3.12,Aeronave Atrasada,29.87
5,May,496993,403288,86353,5694,4.42,Aeronave Atrasada,34.77
6,June,503897,380806,112041,9120,9.39,Aeronave Atrasada,51.92
7,July,520718,410417,103967,4806,6.35,Aeronave Atrasada,36.73
8,August,510536,413202,90754,5052,4.55,Aeronave Atrasada,33.52
9,September,464946,404617,57536,2075,-0.77,Aeronave Atrasada,16.71
10,October,486165,425641,57237,2454,-0.78,Companhia Aérea,16.67
11,November,467972,394791,67576,4599,1.09,Aeronave Atrasada,26.53
12,December,479230,376404,93313,8063,5.97,Aeronave Atrasada,44.23
